ID,ANHO,TRIMESTRE,DIVISION,CALIFICACION_GENERAL,TIPO_DE_SERVICIO,PREGUNTA_01,PREGUNTA_02A,PREGUNTA_02B,PREGUNTA_02C,PREGUNTA_02D,PREGUNTA_02E,PREGUNTA_03,PREGUNTA_04,PREGUNTA_05,PREGUNTA_06,PREGUNTA_07,PREGUNTA_08
24,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
25,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
26,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
27,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
28,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
29,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
30,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
31,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
32,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
33,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
34,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
35,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,2. BUENO,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
36,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
37,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
38,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
39,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
40,2018,1,CENTRAL,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
41,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
42,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
43,2018,1,SANTARDER ,SATISFACTORIA,5. OTROS,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
44,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
45,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
46,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
47,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
48,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
49,2018,1,SANTARDER ,ACEPTABLE,5. OTROS,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
50,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
51,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
52,2018,1,SANTARDER ,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
53,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
54,2018,1,SANTARDER ,SATISFACTORIA,5. OTROS,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
55,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
56,2018,1,SANTARDER ,SATISFACTORIA,5. OTROS,1. EXCELENTE,AMABILIDAD,CONFIANZA,NO RESPONDE,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
57,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
58,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
59,2018,1,SANTARDER ,SATISFACTORIA,5. OTROS,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
60,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
61,2018,1,SANTARDER ,SATISFACTORIA,5. OTROS,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
62,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
63,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
64,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
65,2018,1,SANTARDER ,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
66,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
67,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
68,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
69,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
70,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
71,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
72,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
73,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
74,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
75,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
76,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
77,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
78,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
79,2018,1,CALI,ACEPTABLE,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
80,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
81,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,2. BUENO,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
82,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,2. BUENO,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
83,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
84,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
85,2018,1,CALI,ACEPTABLE,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
86,2018,1,CALI,SATISFACTORIA,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
87,2018,1,CALI,ACEPTABLE,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
88,2018,1,CALI,ACEPTABLE,1. SERVICIO MEDICO,1. EXCELENTE,NO RESPONDE,CONFIANZA,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
89,2018,1,CALI,ACEPTABLE,1. SERVICIO MEDICO,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
90,2018,1,CALI,ACEPTABLE,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
91,2018,1,CALI,ACEPTABLE,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
92,2018,1,CALI,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
93,2018,1,CALI,ACEPTABLE,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
94,2018,1,CALI,ACEPTABLE,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
95,2018,1,CALI,SATISFACTORIA,3. PENSIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
96,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
97,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
98,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,AGILIDAD,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
99,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
100,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
101,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
102,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
103,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
104,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
105,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
106,2018,1,CALI,SATISFACTORIA,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,CONFIANZA,AGILIDAD,SEGURIDAD,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
107,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
108,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
109,2018,1,CALI,ACEPTABLE,2. AFILIACIONES,1. EXCELENTE,AMABILIDAD,NO RESPONDE,NO RESPONDE,NO RESPONDE,NO RESPONDE,1. Menor de 30 Min,1. SI,1. SI,1. SI,1. SI,1. SI
